day;consumption
2018-01-01;19,793
2018-01-02;12,20575
2018-01-03;19,32725
2018-01-04;14,831
2018-01-05;20,18025
2018-01-06;24,58475
2018-01-07;15,7045
2018-01-08;18,73
2018-01-09;19,12625
2018-01-10;16,95975
2018-01-11;19,104
2018-01-12;16,203
2018-01-13;26,5365
2018-01-14;17,09125
2018-01-15;17,16475
2018-01-16;16,07575
2018-01-17;19,341
2018-01-18;16,74375
2018-01-19;14,611
2018-01-20;18,572
2018-01-21;18,3455
2018-01-22;15,874
2018-01-23;16,38925
2018-01-24;19,36
2018-01-25;15,19075
2018-01-26;15,58075
2018-01-27;15,67
2018-01-28;19,048750000000002
2018-01-29;12,524750000000001
2018-01-30;15,258000000000001
2018-01-31;15,142
2018-02-01;12,3785
2018-02-02;17,657
2018-02-03;19,42225
2018-02-04;21,5855
2018-02-05;17,12725
2018-02-06;15,488
2018-02-07;17,88425
2018-02-08;15,47
2018-02-09;14,300749999999999
2018-02-10;22,02275
2018-02-11;20,4915
2018-02-12;15,54175
2018-02-13;14,1755
2018-02-14;11,75275
2018-02-15;10,26125
2018-02-16;14,0365
2018-02-17;19,35025
2018-02-18;15,39
2018-02-19;11,97525
2018-02-20;14,711
2018-02-21;18,196
2018-02-22;17,07375
2018-02-23;18,15
2018-02-24;17,65025
2018-02-25;21,16
2018-02-26;16,08575
2018-02-27;16,0395
2018-02-28;18,0895
2018-03-01;13,35225
2018-03-02;17,705
2018-03-03;24,107000000000003
2018-03-04;20,3945
2018-03-05;20,326249999999998
2018-03-06;15,667
2018-03-07;20,4915
2018-03-08;14,859
2018-03-09;17,4425
2018-03-10;22,277
2018-03-11;16,94475
2018-03-12;17,377
2018-03-13;14,851
2018-03-14;17,77375
2018-03-15;16,119
2018-03-16;15,39775
2018-03-17;24,51575
2018-03-18;19,78975
2018-03-19;13,868
2018-03-20;17,929
2018-03-21;14,67175
2018-03-22;14,2805
2018-03-23;16,4145
2018-03-24;18,788249999999998
2018-03-25;17,69275
2018-03-26;19,05325
2018-03-27;14,76425
2018-03-28;16,384999999999998
2018-03-29;15,10225
2018-03-30;18,841
2018-03-31;16,31975
2018-04-01;19,0535
2018-04-02;20,35925
2018-04-03;15,54425
2018-04-04;17,1385
2018-04-05;15,0715
2018-04-06;18,57025
2018-04-07;19,408
2018-04-08;20,0875
2018-04-09;15,8595
2018-04-10;14,6595
2018-04-11;18,750999999999998
2018-04-12;13,51025
2018-04-13;13,83225
2018-04-14;20,15975
2018-04-15;19,709
2018-04-16;17,21075
2018-04-17;12,92275
2018-04-18;17,66225
2018-04-19;14,67375
2018-04-20;14,880749999999999
2018-04-21;17,4235
2018-04-22;17,08225
2018-04-23;16,214
2018-04-24;11,195500000000001
2018-04-25;15,183
2018-04-26;14,96175
2018-04-27;13,709
2018-04-28;17,48075
2018-04-29;17,342
2018-04-30;13,135
2018-05-01;20,3625
2018-05-02;13,91225
2018-05-03;16,4145
2018-05-04;15,761249999999999
2018-05-05;19,118
2018-05-06;17,2925
2018-05-07;14,31525
2018-05-08;15,054499999999999
2018-05-09;13,47625
2018-05-10;13,99475
2018-05-11;14,00225
2018-05-12;20,99675
2018-05-13;18,00975
2018-05-14;13,4605
2018-05-15;16,20875
2018-05-16;8,7975
2018-05-17;7,17925
2018-05-18;8,43
2018-05-19;10,9695
2018-05-20;9,79125
2018-05-21;13,30275
2018-05-22;13,71025
2018-05-23;18,79025
2018-05-24;13,39725
2018-05-25;14,035
2018-05-26;16,55525
2018-05-27;15,49275
2018-05-28;12,4745
2018-05-29;14,577
2018-05-30;12,33275
2018-05-31;13,30475
2018-06-01;12,81225
2018-06-02;20,39275
2018-06-03;14,12025
2018-06-04;16,163
2018-06-05;11,54425
2018-06-06;11,664
2018-06-07;12,77475
2018-06-08;16,7525
2018-06-09;3,4705
2018-06-12;8,275
2018-06-13;14,4295
2018-06-14;12,09
2018-06-15;15,125
2018-06-16;15,85925
2018-06-17;12,567
2018-06-18;7,335249999999999
2018-06-19;7,7379999999999995
2018-06-20;7,5765
2018-06-21;8,66225
2018-06-22;7,2185
2018-06-23;7,36275
2018-06-24;6,33575
2018-06-25;6,542
2018-06-26;6,611
2018-06-27;6,6915
2018-06-28;6,39725
2018-06-29;6,632
2018-06-30;7,09225
2018-07-01;8,8155
2018-07-02;14,5655
2018-07-03;12,5335
2018-07-04;18,2195
2018-07-05;12,79375
2018-07-06;14,9515
2018-07-07;19,19675
2018-07-08;13,193
2018-07-09;13,480500000000001
2018-07-10;13,9055
2018-07-11;9,833
2018-07-12;11,48925
2018-07-13;15,1445
2018-07-14;13,585749999999999
2018-07-15;15,0435
2018-07-16;15,6235
2018-07-17;14,08475
2018-07-18;13,282
2018-07-19;12,96175
2018-07-20;14,33175
2018-07-21;18,65075
2018-07-22;15,5215
2018-07-23;12,1215
2018-07-24;11,70475
2018-07-25;14,701
2018-07-26;12,47475
2018-07-27;15,0555
2018-07-28;15,077
2018-07-29;15,46325
2018-07-30;16,05425
2018-07-31;13,99825
2018-08-01;12,7595
2018-08-02;13,72125
2018-08-03;12,29475
2018-08-04;11,872
2018-08-05;12,597
2018-08-06;11,68775
2018-08-07;14,39375
2018-08-08;17,887999999999998
2018-08-09;13,14475
2018-08-10;14,48725
2018-08-11;17,8125
2018-08-12;14,14425
2018-08-13;14,34975
2018-08-14;14,24225
2018-08-15;14,47475
2018-08-16;14,9585
2018-08-17;13,30325
2018-08-18;15,5995
2018-08-19;11,03825
2018-08-20;15,3965
2018-08-21;13,81375
2018-08-22;13,5525
2018-08-23;12,825
2018-08-24;12,75975
2018-08-25;16,3225
2018-08-26;11,26775
2018-08-27;14,55025
2018-08-28;13,84525
2018-08-29;13,58575
2018-08-30;12,365499999999999
2018-08-31;14,0225
2018-09-01;23,987000000000002
2018-09-02;16,990000000000002
2018-09-03;16,2595
2018-09-04;17,474
2018-09-05;14,738
2018-09-06;15,87775
2018-09-07;14,46425
2018-09-08;9,70975
2018-09-09;8,3185
2018-09-10;8,79125
2018-09-11;6,86425
2018-09-12;6,8229999999999995
2018-09-13;7,8185
2018-09-14;7,69825
2018-09-15;8,66125
2018-09-16;10,68275
2018-09-17;7,8805000000000005
2018-09-18;7,20275
2018-09-19;9,34175
2018-09-20;7,216
2018-09-21;8,9895
2018-09-22;8,664
2018-09-23;11,90625
2018-09-24;7,95325
2018-09-25;7,20575
