month;consumption
2022-01;445,36725
2022-02;399,74625
2022-03;454,15625
2022-04;378,911
2022-05;272,8795
2022-06;350,1415
2022-07;367,66
2022-08;358,17775
2022-09;153,57725
2022-10;411,991
2022-11;269,371
2022-12;235,972
