day;consumption
2022-01-01;16,85875
2022-01-02;15,345
2022-01-03;16,69225
2022-01-04;12,78425
2022-01-05;12,363
2022-01-06;13,899750000000001
2022-01-07;13,943
2022-01-08;16,56125
2022-01-09;13,87775
2022-01-10;13,92175
2022-01-11;13,20075
2022-01-12;12,0275
2022-01-13;11,2805
2022-01-14;13,629
2022-01-15;20,2725
2022-01-16;14,08675
2022-01-17;13,5025
2022-01-18;12,89425
2022-01-19;11,96025
2022-01-20;13,5505
2022-01-21;13,64225
2022-01-22;21,77675
2022-01-23;13,49625
2022-01-24;14,58425
2022-01-25;12,5505
2022-01-26;13,3415
2022-01-27;14,645249999999999
2022-01-28;13,041
2022-01-29;18,3295
2022-01-30;14,004
2022-01-31;13,30475
2022-02-01;14,8565
2022-02-02;13,23975
2022-02-03;13,566
2022-02-04;13,943999999999999
2022-02-05;16,332
2022-02-06;13,847
2022-02-07;13,17175
2022-02-08;13,59525
2022-02-09;12,318249999999999
2022-02-10;11,65725
2022-02-11;13,4585
2022-02-12;19,46225
2022-02-13;15,3395
2022-02-14;13,4815
2022-02-15;12,75075
2022-02-16;14,6075
2022-02-17;14,16475
2022-02-18;13,9485
2022-02-19;18,330750000000002
2022-02-20;14,834
2022-02-21;14,31925
2022-02-22;13,44
2022-02-23;14,35475
2022-02-24;12,82025
2022-02-25;12,25375
2022-02-26;19,07675
2022-02-27;12,94975
2022-02-28;13,626
2022-03-01;13,71275
2022-03-02;13,81075
2022-03-03;13,2025
2022-03-04;14,9805
2022-03-05;15,5435
2022-03-06;15,1575
2022-03-07;15,62225
2022-03-08;14,034749999999999
2022-03-09;12,47525
2022-03-10;13,95425
2022-03-11;12,80775
2022-03-12;17,20525
2022-03-13;14,4155
2022-03-14;14,97575
2022-03-15;14,08975
2022-03-16;12,9225
2022-03-17;17,80125
2022-03-18;14,238
2022-03-19;15,98725
2022-03-20;14,57775
2022-03-21;15,35975
2022-03-22;14,2625
2022-03-23;13,96725
2022-03-24;14,97625
2022-03-25;14,64175
2022-03-26;20,1395
2022-03-27;14,14625
2022-03-28;16,101
2022-03-29;13,418
2022-03-30;13,340250000000001
2022-03-31;12,289
2022-04-01;13,66325
2022-04-02;11,06875
2022-04-03;14,48575
2022-04-04;13,57875
2022-04-05;12,298
2022-04-06;13,00525
2022-04-07;13,4205
2022-04-08;13,83275
2022-04-09;14,4875
2022-04-10;12,666
2022-04-11;11,58375
2022-04-12;10,88925
2022-04-13;10,79775
2022-04-14;11,63975
2022-04-15;12,8345
2022-04-16;20,55625
2022-04-17;14,20075
2022-04-18;11,99925
2022-04-19;13,41975
2022-04-20;11,71075
2022-04-21;10,711
2022-04-22;11,198
2022-04-23;12,57075
2022-04-24;12,688
2022-04-25;11,6015
2022-04-26;12,4665
2022-04-27;11,44125
2022-04-28;9,83025
2022-04-29;11,522
2022-04-30;12,743500000000001
2022-05-01;11,5955
2022-05-02;11,99325
2022-05-03;11,70825
2022-05-04;11,3645
2022-05-05;10,379
2022-05-06;12,5775
2022-05-07;15,07875
2022-05-08;12,45725
2022-05-09;8,14
2022-05-10;7,9295
2022-05-11;7,333
2022-05-12;7,36
2022-05-13;7,5885
2022-05-14;9,318
2022-05-15;8,743500000000001
2022-05-16;8,934000000000001
2022-05-17;7,5735
2022-05-18;8,1465
2022-05-19;7,74725
2022-05-20;10,293
2022-05-21;8,0325
2022-05-22;7,04975
2022-05-23;7,01825
2022-05-24;6,99525
2022-05-25;6,9165
2022-05-26;6,7185
2022-05-27;6,78025
2022-05-28;6,751
2022-05-29;6,67825
2022-05-30;6,7125
2022-05-31;6,966
2022-06-01;10,99625
2022-06-02;13,198
2022-06-03;15,681000000000001
2022-06-04;16,78025
2022-06-05;11,57025
2022-06-06;10,5415
2022-06-07;9,69125
2022-06-08;10,842
2022-06-09;13,471
2022-06-10;11,8905
2022-06-11;14,27625
2022-06-12;11,19225
2022-06-13;11,7325
2022-06-14;11,38375
2022-06-15;9,921
2022-06-16;9,474499999999999
2022-06-17;14,51925
2022-06-18;11,2115
2022-06-19;11,7125
2022-06-20;10,4445
2022-06-21;11,36425
2022-06-22;11,24675
2022-06-23;9,695500000000001
2022-06-24;10,368
2022-06-25;12,53875
2022-06-26;10,16675
2022-06-27;11,605
2022-06-28;10,61175
2022-06-29;9,84825
2022-06-30;12,1665
2022-07-01;11,32975
2022-07-02;14,5235
2022-07-03;11,237
2022-07-04;12,03425
2022-07-05;14,112
2022-07-06;12,21475
2022-07-07;10,92325
2022-07-08;13,724
2022-07-09;12,61625
2022-07-10;13,02425
2022-07-11;9,55275
2022-07-12;9,81375
2022-07-13;11,19825
2022-07-14;10,5
2022-07-15;13,207
2022-07-16;13,86025
2022-07-17;10,72925
2022-07-18;11,15475
2022-07-19;11,98475
2022-07-20;10,76625
2022-07-21;10,91975
2022-07-22;10,5125
2022-07-23;16,302500000000002
2022-07-24;13,3275
2022-07-25;10,7655
2022-07-26;11,8425
2022-07-27;9,24725
2022-07-28;8,9445
2022-07-29;11,3055
2022-07-30;12,6435
2022-07-31;13,343
2022-08-01;8,85675
2022-08-02;11,97875
2022-08-03;9,124
2022-08-04;15,443
2022-08-05;10,34
2022-08-06;18,5415
2022-08-07;12,84375
2022-08-08;9,6805
2022-08-09;11,917
2022-08-10;11,749
2022-08-11;9,321
2022-08-12;10,737
2022-08-13;11,36225
2022-08-14;11,435
2022-08-15;12,52175
2022-08-16;10,3605
2022-08-17;9,31125
2022-08-18;10,1745
2022-08-19;15,1335
2022-08-20;10,92475
2022-08-21;13,25925
2022-08-22;12,7785
2022-08-23;8,7605
2022-08-24;10,620000000000001
2022-08-25;8,9095
2022-08-26;12,56125
2022-08-27;12,434
2022-08-28;12,73225
2022-08-29;11,13275
2022-08-30;10,928
2022-08-31;12,306
2022-09-01;10,68525
2022-09-02;9,7035
2022-09-03;13,1725
2022-09-04;12,80475
2022-09-05;10,842
2022-09-06;12,771
2022-09-07;12,035
2022-09-08;10,02425
2022-09-09;3,21
2022-09-10;9,19725
2022-09-27;5,3045
2022-09-28;13,927
2022-09-29;14,39875
2022-09-30;15,5015
2022-10-01;14,37575
2022-10-02;14,047
2022-10-03;13,219
2022-10-04;13,2035
2022-10-05;14,533
2022-10-06;12,746
2022-10-07;11,33975
2022-10-08;13,718
2022-10-09;12,72525
2022-10-10;14,34275
2022-10-11;13,03925
2022-10-12;12,61375
2022-10-13;11,80725
2022-10-14;12,4195
2022-10-15;18,455750000000002
2022-10-16;13,132
2022-10-17;12,48075
2022-10-18;13,15575
2022-10-19;12,11425
2022-10-20;11,902
2022-10-21;12,7515
2022-10-22;17,6455
2022-10-23;13,745000000000001
2022-10-24;12,950000000000001
2022-10-25;12,9
2022-10-26;13,783
2022-10-27;11,91125
2022-10-28;12,91025
2022-10-29;13,30625
2022-10-30;11,0295
2022-10-31;13,6885
2022-11-01;13,886
2022-11-02;13,381
2022-11-03;12,37625
2022-11-04;12,86875
2022-11-05;17,52925
2022-11-06;12,521
2022-11-07;11,475
2022-11-08;13,70025
2022-11-09;7,9495000000000005
2022-11-10;6,881
2022-11-11;7,1530000000000005
2022-11-12;8,123
2022-11-13;7,592
2022-11-14;7,757
2022-11-15;6,019
2022-11-16;6,344
2022-11-17;7,038
2022-11-18;7,668
2022-11-19;6,783
2022-11-20;9,198
2022-11-21;7,585
2022-11-22;5,943
2022-11-23;7,049
2022-11-24;7,381
2022-11-25;7,395
2022-11-26;6,773
2022-11-27;9,248
2022-11-28;7,206
2022-11-29;6,939
2022-11-30;7,609
2022-12-01;6,361
2022-12-02;6,659
2022-12-03;8,25
2022-12-04;8,182
2022-12-05;8,751
2022-12-06;6,942
2022-12-07;7,155
2022-12-08;6,5
2022-12-09;6,602
2022-12-10;8,31
2022-12-11;8,97
2022-12-12;7,84
2022-12-13;7,207
2022-12-14;7,006
2022-12-15;6,683
2022-12-16;7,654
2022-12-17;7,9159999999999995
2022-12-18;8,44
2022-12-19;8,059
2022-12-20;6,965
2022-12-21;6,766
2022-12-22;7,474
2022-12-23;8,046
2022-12-24;10,411
2022-12-25;7,887
2022-12-26;8,529
2022-12-27;6,538
2022-12-28;6,02
2022-12-29;8,094
2022-12-30;7,468
2022-12-31;8,287
