day;consumption
2013-09-27;10,104
2013-09-28;32,713
2013-09-29;24,431
2013-09-30;19,67225
2013-10-01;14,31225
2013-10-02;17,982
2013-10-03;18,6445
2013-10-04;19,70875
2013-10-05;22,762249999999998
2013-10-06;24,847749999999998
2013-10-07;14,192
2013-10-08;18,63025
2013-10-09;16,937
2013-10-10;23,01025
2013-10-11;22,0425
2013-10-12;29,5295
2013-10-13;24,07225
2013-10-14;18,50525
2013-10-15;8,84575
2013-10-16;24,87575
2013-10-17;18,979
2013-10-18;14,296
2013-10-19;27,712
2013-10-20;24,33875
2013-10-21;17,88575
2013-10-22;19,448
2013-10-23;14,449250000000001
2013-10-24;22,617250000000002
2013-10-25;18,4435
2013-10-26;27,27425
2013-10-27;23,15375
2013-10-28;17,122
2013-10-29;16,92325
2013-10-30;16,453500000000002
2013-10-31;20,534750000000003
2013-11-01;21,585
2013-11-02;23,43475
2013-11-03;24,7565
2013-11-04;17,0995
2013-11-05;18,4065
2013-11-06;16,95675
2013-11-07;21,508499999999998
2013-11-08;19,7775
2013-11-09;25,501
2013-11-10;27,27475
2013-11-11;9,9895
2013-11-12;24,646
2013-11-13;19,4215
2013-11-14;20,87375
2013-11-15;20,40425
2013-11-16;21,4205
2013-11-17;19,5355
2013-11-18;24,01625
2013-11-19;9,95125
2013-11-21;45,22975
2013-11-22;22,65225
2013-11-23;24,491
2013-11-24;28,164
2013-11-25;3,8512500000000003
2013-11-27;57,28525
2013-11-28;20,4235
2013-11-29;20,02325
2013-11-30;28,32575
2013-12-01;25,64425
2013-12-02;19,90575
2013-12-03;19,43375
2013-12-04;16,61325
2013-12-05;19,6285
2013-12-06;21,680500000000002
2013-12-07;24,5565
2013-12-08;30,0195
2013-12-09;18,34425
2013-12-10;18,00525
2013-12-11;17,684
2013-12-12;22,05025
2013-12-13;19,0265
2013-12-14;28,405250000000002
2013-12-15;26,2245
2013-12-16;21,80725
2013-12-17;21,364
2013-12-18;19,29025
2013-12-19;16,6405
2013-12-20;27,74775
2013-12-21;25,023
2013-12-22;27,330750000000002
2013-12-23;19,77925
2013-12-24;26,3285
2013-12-25;16,39625
2013-12-26;23,86775
2013-12-27;22,379
2013-12-28;26,9955
2013-12-29;26,718
2013-12-30;18,8795
2013-12-31;23,4605
