month;consumption
2023-01;313,57975
2023-02;405,6845
2023-03;318,27375
2023-04;398,39125
2023-05;391,07525
2023-06;146,967
2023-07;154,308
2023-08;146,186
2023-09;162,532
2023-10;174,21
2023-11;145,244
2023-12;188,043
