month;consumption
2014-01;627,98175
2014-02;648,033
2014-03;360,91275
2014-04;599,048
2014-05;614,34875
2014-06;552,33275
2014-07;597,037
2014-08;599,656
2014-09;536,64825
2014-10;606,27775
2014-11;611,24425
2014-12;693,601
