day;consumption
2017-01-01;20,744
2017-01-02;12,7475
2017-01-03;20,61925
2017-01-04;17,16575
2017-01-05;20,0795
2017-01-06;22,627
2017-01-07;24,58275
2017-01-08;23,285
2017-01-09;20,11425
2017-01-10;18,599999999999998
2017-01-11;20,6575
2017-01-12;21,42875
2017-01-13;17,7975
2017-01-14;22,20675
2017-01-15;25,35025
2017-01-16;18,4455
2017-01-17;20,7245
2017-01-18;18,076999999999998
2017-01-19;20,645500000000002
2017-01-20;20,787
2017-01-21;17,08025
2017-01-22;23,655
2017-01-23;19,114
2017-01-24;22,27575
2017-01-25;20,7605
2017-01-26;20,903
2017-01-27;21,64125
2017-01-28;22,51
2017-01-29;12,653
2017-01-30;7,59375
2017-01-31;12,356
2017-02-01;11,145
2017-02-02;7,6685
2017-02-03;9,743
2017-02-04;13,79975
2017-02-05;13,552
2017-02-06;9,7145
2017-02-07;9,503
2017-02-08;10,14875
2017-02-09;9,1045
2017-02-10;9,75075
2017-02-11;12,531
2017-02-12;10,9625
2017-02-13;9,7455
2017-02-14;9,9095
2017-02-15;10,43025
2017-02-16;7,286
2017-02-17;7,659
2017-02-18;10,6205
2017-02-19;11,92525
2017-02-20;10,802999999999999
2017-02-21;7,1825
2017-02-22;13,1675
2017-02-23;7,293
2017-02-24;9,5435
2017-02-25;9,42025
2017-02-26;11,76125
2017-02-27;8,695500000000001
2017-02-28;12,368
2017-03-01;11,01125
2017-03-02;8,229750000000001
2017-03-03;9,268
2017-03-04;13,278
2017-03-05;12,09575
2017-03-06;8,594000000000001
2017-03-07;9,339
2017-03-08;11,7715
2017-03-09;19,44975
2017-03-10;16,695249999999998
2017-03-11;24,4205
2017-03-12;21,06475
2017-03-13;19,28675
2017-03-14;17,89525
2017-03-15;22,45025
2017-03-16;15,66325
2017-03-17;18,7535
2017-03-18;18,43075
2017-03-19;23,38275
2017-03-20;16,922
2017-03-21;20,921
2017-03-22;21,77325
2017-03-23;15,6175
2017-03-24;19,377000000000002
2017-03-25;23,07125
2017-03-26;23,538999999999998
2017-03-27;14,103250000000001
2017-03-28;19,17025
2017-03-29;18,96775
2017-03-30;20,21625
2017-03-31;17,96725
2017-04-01;19,38375
2017-04-02;22,054
2017-04-03;15,271999999999998
2017-04-04;17,845000000000002
2017-04-05;17,636
2017-04-06;19,8655
2017-04-07;15,382
2017-04-08;19,64475
2017-04-09;21,39125
2017-04-10;16,307
2017-04-11;16,26625
2017-04-12;19,603
2017-04-13;16,3525
2017-04-14;17,1255
2017-04-15;29,81575
2017-04-16;19,72075
2017-04-17;20,22225
2017-04-18;18,397750000000002
2017-04-19;20,47675
2017-04-20;17,23025
2017-04-21;18,03025
2017-04-22;25,6725
2017-04-23;21,19625
2017-04-24;17,32925
2017-04-25;19,23025
2017-04-26;17,2795
2017-04-27;18,632749999999998
2017-04-28;19,9935
2017-04-29;18,293
2017-04-30;22,8215
2017-05-01;20,323
2017-05-02;17,790499999999998
2017-05-03;19,838250000000002
2017-05-04;17,984
2017-05-05;16,70625
2017-05-06;23,895
2017-05-07;18,112000000000002
2017-05-08;23,15975
2017-05-09;15,93675
2017-05-10;25,65525
2017-05-11;14,32375
2017-05-12;17,4475
2017-05-13;22,72175
2017-05-14;22,72025
2017-05-15;17,7225
2017-05-16;18,24925
2017-05-17;15,120000000000001
2017-05-18;13,689499999999999
2017-05-19;18,46025
2017-05-20;17,99475
2017-05-21;16,031
2017-05-22;16,937
2017-05-23;16,46675
2017-05-24;13,717
2017-05-25;18,8845
2017-05-26;14,1165
2017-05-27;21,56975
2017-05-28;21,768
2017-05-29;17,11975
2017-05-30;14,58975
2017-05-31;14,04625
2017-06-01;17,156
2017-06-02;14,09425
2017-06-03;23,819
2017-06-04;15,417
2017-06-05;16,91025
2017-06-06;14,04275
2017-06-07;15,9625
2017-06-08;14,57075
2017-06-09;17,75875
2017-06-10;19,549
2017-06-11;14,586
2017-06-12;14,23025
2017-06-13;15,49725
2017-06-14;13,64775
2017-06-15;13,8195
2017-06-16;15,34675
2017-06-17;15,88725
2017-06-18;11,074250000000001
2017-06-19;15,739
2017-06-20;15,6705
2017-06-21;16,0075
2017-06-22;14,383000000000001
2017-06-23;16,5995
2017-06-24;14,3505
2017-06-25;19,17575
2017-06-26;18,45775
2017-06-27;15,8705
2017-06-28;14,927999999999999
2017-06-29;14,90575
2017-06-30;18,11925
2017-07-01;18,341
2017-07-02;15,8285
2017-07-03;16,80575
2017-07-04;16,21475
2017-07-05;13,76825
2017-07-06;13,712
2017-07-07;14,86275
2017-07-08;17,041
2017-07-09;15,4295
2017-07-10;13,7925
2017-07-11;17,77375
2017-07-12;14,08125
2017-07-13;12,0205
2017-07-14;17,81175
2017-07-15;18,64325
2017-07-16;14,882
2017-07-17;16,15
2017-07-18;12,029250000000001
2017-07-19;13,529
2017-07-20;12,3305
2017-07-21;13,17
2017-07-22;17,116
2017-07-23;16,67625
2017-07-24;15,3275
2017-07-25;14,42425
2017-07-26;12,791
2017-07-27;14,922
2017-07-28;17,2425
2017-07-29;17,0935
2017-07-30;15,449
2017-07-31;15,60275
2017-08-01;14,39075
2017-08-02;14,76075
2017-08-03;12,28125
2017-08-04;13,5905
2017-08-05;22,597749999999998
2017-08-06;16,3205
2017-08-07;14,7225
2017-08-08;12,53875
2017-08-09;16,91625
2017-08-10;15,63875
2017-08-11;15,502
2017-08-12;21,793
2017-08-13;17,88775
2017-08-14;14,256
2017-08-15;16,73975
2017-08-16;13,1805
2017-08-17;15,041
2017-08-18;15,24125
2017-08-19;22,869
2017-08-20;16,457
2017-08-21;17,740750000000002
2017-08-22;15,1675
2017-08-23;17,50525
2017-08-24;12,528
2017-08-25;17,31825
2017-08-26;20,18625
2017-08-27;17,8305
2017-08-28;17,16325
2017-08-29;15,91225
2017-08-30;16,22875
2017-08-31;16,7645
2017-09-01;14,76875
2017-09-02;24,06425
2017-09-03;16,4265
2017-09-04;17,30475
2017-09-05;16,1655
2017-09-06;15,7
2017-09-07;12,47475
2017-09-08;15,80575
2017-09-09;19,1525
2017-09-10;20,01125
2017-09-11;19,323249999999998
2017-09-12;15,71925
2017-09-13;19,295
2017-09-14;16,248
2017-09-15;16,056
2017-09-16;24,3875
2017-09-17;16,44075
2017-09-18;17,4185
2017-09-19;18,68125
2017-09-20;16,39075
2017-09-21;16,77675
2017-09-22;18,877
2017-09-23;19,580000000000002
2017-09-24;19,53925
2017-09-25;19,173
2017-09-26;17,063
2017-09-27;17,57675
2017-09-28;15,36
2017-09-29;14,78725
2017-09-30;21,84
2017-10-01;20,24775
2017-10-02;16,6915
2017-10-03;16,09225
2017-10-04;16,60125
2017-10-05;15,215
2017-10-06;16,88175
2017-10-07;20,6215
2017-10-08;20,863
2017-10-09;18,443
2017-10-10;16,03425
2017-10-11;20,092
2017-10-12;16,10225
2017-10-13;17,4055
2017-10-14;21,68175
2017-10-15;19,93425
2017-10-16;18,27425
2017-10-17;16,88125
2017-10-18;20,53425
2017-10-19;14,463750000000001
2017-10-20;14,06675
2017-10-21;20,16775
2017-10-22;19,2515
2017-10-23;17,0925
2017-10-24;16,269000000000002
2017-10-25;17,86025
2017-10-26;16,80975
2017-10-27;16,00525
2017-10-28;23,42775
2017-10-29;17,275
2017-10-30;18,274
2017-10-31;17,95275
2017-11-01;17,459500000000002
2017-11-02;15,681
2017-11-03;15,84975
2017-11-04;21,65975
2017-11-05;17,1445
2017-11-06;16,34175
2017-11-07;16,9695
2017-11-08;19,15675
2017-11-09;13,224
2017-11-10;16,48875
2017-11-11;22,2515
2017-11-12;18,048750000000002
2017-11-13;15,7775
2017-11-14;15,62075
2017-11-15;17,2465
2017-11-16;12,86225
2017-11-17;15,378
2017-11-18;19,082
2017-11-19;21,0985
2017-11-20;15,58975
2017-11-21;14,637
2017-11-22;16,858999999999998
2017-11-23;13,97925
2017-11-24;17,131
2017-11-25;21,43725
2017-11-26;20,8475
2017-11-27;18,6705
2017-11-28;14,88325
2017-11-29;17,8995
2017-11-30;16,389
2017-12-01;17,29025
2017-12-02;16,55425
2017-12-03;23,96375
2017-12-04;18,23525
2017-12-05;17,715
2017-12-06;18,80325
2017-12-07;16,36775
2017-12-08;20,475
2017-12-09;21,478
2017-12-10;22,90225
2017-12-11;19,88125
2017-12-12;13,109
2017-12-13;17,506
2017-12-14;19,13075
2017-12-15;15,5115
2017-12-16;19,44925
2017-12-17;21,167
2017-12-18;19,08325
2017-12-19;17,1215
2017-12-20;18,78975
2017-12-21;15,4525
2017-12-22;16,9905
2017-12-23;25,1705
2017-12-24;23,0675
2017-12-25;20,37925
2017-12-26;13,97175
2017-12-27;17,07625
2017-12-28;17,33375
2017-12-29;15,212250000000001
2017-12-30;22,70775
2017-12-31;23,58125
