day;consumption
2023-01-01;7,184
2023-01-02;6,536
2023-01-03;7,135
2023-01-04;7,321
2023-01-05;6,858
2023-01-06;6,97
2023-01-07;7,424
2023-01-08;8,618
2023-01-09;7,623
2023-01-10;8,15
2023-01-11;6,815
2023-01-12;7,237
2023-01-13;7,431
2023-01-14;6,348
2023-01-15;8,34
2023-01-16;7,952
2023-01-17;7,079
2023-01-18;7,691
2023-01-19;8,409
2023-01-20;7,751
2023-01-21;12,72675
2023-01-22;19,308
2023-01-23;15,941
2023-01-24;14,53775
2023-01-25;12,023
2023-01-26;12,068
2023-01-27;16,50425
2023-01-28;16,6525
2023-01-29;16,26375
2023-01-30;14,84175
2023-01-31;13,841
2023-02-01;15,58975
2023-02-02;14,975
2023-02-03;15,81775
2023-02-04;18,87675
2023-02-05;12,337
2023-02-06;15,7905
2023-02-07;15,62625
2023-02-08;14,73675
2023-02-09;13,311
2023-02-10;15,46075
2023-02-11;22,07275
2023-02-12;13,643
2023-02-13;14,58075
2023-02-14;14,0685
2023-02-15;13,07725
2023-02-16;11,60575
2023-02-17;13,44675
2023-02-18;13,5245
2023-02-19;12,429
2023-02-20;12,99975
2023-02-21;12,7945
2023-02-22;14,675
2023-02-23;16,20675
2023-02-24;13,56725
2023-02-25;15,026
2023-02-26;13,2945
2023-02-27;13,7445
2023-02-28;12,4065
2023-03-01;9,53525
2023-03-02;7,4855
2023-03-03;7,49975
2023-03-04;7,38875
2023-03-05;7,189
2023-03-06;7,3155
2023-03-07;1,3395
2023-03-17;85,47525
2023-03-18;15,82875
2023-03-19;14,2805
2023-03-20;12,31425
2023-03-21;11,955
2023-03-22;11,23475
2023-03-23;10,8155
2023-03-24;12,4265
2023-03-25;12,76925
2023-03-26;11,246500000000001
2023-03-27;15,2955
2023-03-28;16,83125
2023-03-29;12,7025
2023-03-30;14,46775
2023-03-31;12,87725
2023-04-01;16,63775
2023-04-02;12,94375
2023-04-03;12,4545
2023-04-04;13,88125
2023-04-05;12,31375
2023-04-06;12,148
2023-04-07;12,35225
2023-04-08;18,36875
2023-04-09;13,317
