month;consumption
2016-01;650,4795
2016-02;579,387
2016-03;619,2235000000001
2016-04;556,7975
2016-05;592,105
2016-06;556,26075
2016-07;453,23275
2016-08;559,6535
2016-09;582,23625
2016-10;450,34525
2016-11;579,28825
2016-12;636,43325
